,text
0,"<|endoftext|>sadness:I thought you were the shield to keep me safe Against the spearman’s dart. You were the spear. I sought your help in danger, as the left Arm seeks the right. Now stand away and let The spearman aim. For if you must disown Our friendship, please: do not side with my foe.<|endoftext|>"
1,"<|endoftext|>betrayal:I thought you were the shield to keep me safe Against the spearman’s dart. You were the spear. I sought your help in danger, as the left Arm seeks the right. Now stand away and let The spearman aim. For if you must disown Our friendship, please: do not side with my foe.<|endoftext|>"
2,<|endoftext|>sadness:All day two armies fight Till all the blood is shed But covered by the night They sleep in the same bed<|endoftext|>
3,"<|endoftext|>helpless:How much longer must I face This scorn, this turning back? Have I not wept enough? For how long will I suffer Your neglect, savage as hunger? Have you not had enough? Be kind to me: contempt is hard To take, master. The time has come To treat me better. Gentlemen, Have mercy on my heart. All sleep and patience gone. Is it the law of love That I should be alone While others love? Oh lord, let him be cruel. I am not done.<|endoftext|>"
4,<|endoftext|>hate:My fate is like an enemy: It shows me only hate. If once it stoops to kindness It soon mends its mistake.<|endoftext|>
5,"<|endoftext|>hate:I thought you were the shield to keep me safe Against the spearman’s dart. You were the spear. I sought your help in danger, as the left Arm seeks the right. Now stand away and let The spearman aim. For if you must disown Our friendship, please: do not side with my foe.<|endoftext|>"
6,"<|endoftext|>hurt:Drain the cup only In trusted, noble Company. Wine is like wind: Sweet if breezing Over balm, Bad if over rot It blows.<|endoftext|>"
7,"<|endoftext|>desire:You are what I Crave and desire. Your company, Eternal sun. Your absence fire. You are my whole Life’s craze, the one Thing in my mind. Love is no crime. The shirt of pain I wore laid bare The grief within. My wet cheeks aired The love I hid. Secrets undone By tell-tale sobs. Cure me of this Hard agony. You are its cause And remedy. Your healing hand Inflames the hurt. Your bright eyes are The gold I hoard, Your rosy cheeks, Assassins. Your Hair is my jail. The game is up. A martyrdom Of love is mine. Death by sweet swords. How many fine Souls meet the same Sharp, tender blade? I will not stop Loving nor seek Relief. Love is My law, my drug Inside and out. Happy the eyes That looked at you And won a look Returned. Now I Am burning, lost.<|endoftext|>"
8,"<|endoftext|>hurt:You are what I Crave and desire. Your company, Eternal sun. Your absence fire. You are my whole Life’s craze, the one Thing in my mind. Love is no crime. The shirt of pain I wore laid bare The grief within. My wet cheeks aired The love I hid. Secrets undone By tell-tale sobs. Cure me of this Hard agony. You are its cause And remedy. Your healing hand Inflames the hurt. Your bright eyes are The gold I hoard, Your rosy cheeks, Assassins. Your Hair is my jail. The game is up. A martyrdom Of love is mine. Death by sweet swords. How many fine Souls meet the same Sharp, tender blade? I will not stop Loving nor seek Relief. Love is My law, my drug Inside and out. Happy the eyes That looked at you And won a look Returned. Now I Am burning, lost.<|endoftext|>"
9,"<|endoftext|>beauty:Fame is a record of all worth— Yours it cannot measure. God preserve your time on earth, Virtue’s father and mother!<|endoftext|>"
10,"<|endoftext|>happy:If the house could know who came this way It would thrill at the news and kiss the ground As if to greet its guest, as if to say Well met and welcome to a gracious mind<|endoftext|>"
11,<|endoftext|>love:Why save up for a sheep to find delight When trays of sweets all earthly dreams surpass? My heart longs for a table spread with light: Kunafa in a buttered honey bath<|endoftext|>
12,"<|endoftext|>pain:I thought you were the shield to keep me safe Against the spearman’s dart. You were the spear. I sought your help in danger, as the left Arm seeks the right. Now stand away and let The spearman aim. For if you must disown Our friendship, please: do not side with my foe.<|endoftext|>"
13,<|endoftext|>betrayal:All day two armies fight Till all the blood is shed But covered by the night They sleep in the same bed<|endoftext|>
14,"<|endoftext|>realization:If I had known my love would come this way, I would have laid A mantle of my blood, my own black eyes upon the street And tiled the earth with cheeks, and made An avenue of eyelids for his feet<|endoftext|>"
15,"<|endoftext|>love:Keep your secret. If you tell it, You have lost it. If your own heart. Cannot hold it, how will the heart You gave it to hold?<|endoftext|>"
16,<|endoftext|>pain:How fine is the forgiveness of the strong And finer when it falls on weaker hearts If friendship ever was a sacred bond Do not cast off the first friend for the last<|endoftext|>
17,"<|endoftext|>frustration:If I were to complain, what would I say? Or tried to look for love—which way? Or sent a messenger to tell my tale, Who could translate this ache? If I attempted patience—no Forbearance after love has flown. Nothing but regret and grief And tears on cheeks. You, now far from sight, Will in my heart remain. Was it not you who taught me How to love, and all my life From love’s oath not to stray?<|endoftext|>"
18,<|endoftext|>mystery:Only true souls keep a secret. Only the best heart is sealed Secrets find in me a bolted House: key lost and lock Secure.<|endoftext|>
19,<|endoftext|>hurt:All day two armies fight Till all the blood is shed But covered by the night They sleep in the same bed<|endoftext|>
20,<|endoftext|>pain:To see their traces is to ache And cry where they once were Whoever sent them far away I beg for their return<|endoftext|>
21,"<|endoftext|>betrayal:Drain the cup only In trusted, noble Company. Wine is like wind: Sweet if breezing Over balm, Bad if over rot It blows.<|endoftext|>"
